,0,1,2,3,4,5,6,7
best_epoch,155,240,280,315,400,270,340,170
total_epoch,185,270,310,345,430,295,370,200
train_time,224.12873315811157,446.9305770397186,573.8053796291351,717.8063206672668,952.6513152122498,698.9369235038757,930.2878706455231,857.8315608501434
h_dim,60,60,60,60,60,60,60,60
z_dim,20,20,20,20,20,20,20,20
n_layers,1,1,1,1,1,1,1,1
seq_len_train,512,512,512,512,512,512,512,512
batch_size,128,128,128,128,128,128,128,128
lr_scheduler_nepochs,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
lr_scheduler_factor,10,10,10,10,10,10,10,10
model_param,79835,79835,79835,79835,79835,79835,79835,79835
marginal_likeli,-1.7322832984904535,-1.2242183192555633,-1.455750404367052,-1.1908658988945164,-1.2881379923787586,-1.400853137838269,-1.271152913357573,-1.4378391692572547
vaf,37.096130330126556,79.24124313107585,61.597629431144476,80.9350421841909,74.56457950828487,66.92946022361414,75.6193263263126,60.485277678721246
rmse,[1.38005931],[0.79608702],[1.08954317],[0.76647198],[0.88436686],[1.00488194],[0.8605808],[1.09767721]
